the_geom,longitude,latitude,cartodb_id,id,name,distance_to_yishun_west,distance_to_yishun_east,distance_to_punggol,column_1531919386209
0101000020E61000003FC8B260E2EB5940890AD5CDC59FF53F,103.685692,1.351507,1389,27209,Hall 8,19999.61173,20430.12187,25704.40148,
0101000020E6100000672618CE35F159405D5320B3B368F53F,103.768909,1.338062,1785,42309,Hse No. 45,13450.0693,13559.86278,17718.49344,
0101000020E6100000D2A92B9FE5F359407C0E2C47C840F73F,103.81089,1.453316,2322,46921,Opp Blk 22,4762.344684,5615.694893,11417.61327,
0101000020E61000008962F20698EF5940D8B969334E03F73F,103.743654,1.438307,2453,49141,Ctrl Granite Ind,11563.31816,12306.08093,18337.86442,
0101000020E6100000BF61A2410AF55940F110C64FE35EF63F,103.828751,1.398166,2862,55281,Aft SLE,4142.548494,4156.346257,8983.835636,
0101000020E6100000CAE1934E24005A40516859F78F05F63F,104.002216,1.376358,4557,95179,DHL,18257.41521,17436.19487,11519.86238,
0101000020E610000069AA27F38FF65940CD203EB0E3BFF43F,103.852536,1.296848,1,1012,Hotel Grand Pacific,14807.4619,14308.20437,14666.75519,
0101000020E61000000C3D62F4DCF3594077BE9F1A2F5DF43F,103.810361,1.27275,2,14351,Blk 48,17937.52182,17640.84506,19298.43604,
0101000020E6100000B8770DFAD2F55940FAEC80EB8A19F63F,103.841002,1.381236,3,55169,Mkt/FC,5509.246502,5169.766056,8385.531067,
0101000020E610000085B69C4B71F75940215A2BDA1C27F53F,103.86629,1.322049,4,60139,Blk 44,12194.18028,11607.58116,11498.85915,
0101000020E6100000FE0E45813EF95940A6B6D4415E4FF53F,103.89444,1.331877,5,70089,HDB CP,12117.93114,11381.99357,9580.044518,
0101000020E61000004BC8073D9BF6594016139B8F6BC3F43F,103.853225,1.29771,6,1013,St. Joseph's Ch,14715.46744,14212.46966,14548.26664,
0101000020E61000002F3196E997F659401CD3139678C0F43F,103.853022,1.29699,7,1019,Bras Basah Cplx,14794.00881,14292.16425,14630.11668,
0101000020E6100000A7CF0EB8AEF6594007B309302CBFF43F,103.854414,1.296673,8,1029,Cosmic Insurance Bldg,14836.50778,14327.37738,14599.11408,
0101000020E610000070287CB60EF459407D0569C6A269F43F,103.813398,1.27579,9,14349,Blk 59,17534.70016,17226.85752,18831.10399,
0101000020E6100000B130444E5FF55940B43BA41820D1F53F,103.833942,1.363556,10,53341,Blk 407,7566.772138,7268.000263,10101.00747,
0101000020E6100000F20698F90EF559403F1F65C40560F63F,103.829039,1.398443,11,55289,LP 94,4100.047829,4112.159438,8945.425195,
0101000020E6100000AF5C6F9BA9F85940253CA1D79FC4F53F,103.885352,1.360504,12,63031,Kovan Stn,8838.672567,8083.115578,6759.709602,
0101000020E61000009AD2FA5B02FA5940DA01D7153342F63F,103.906394,1.391162,13,67221,Blk 153,7895.891663,7041.713888,2920.920922,
0101000020E61000006EC1525DC0F65940357D76C075C5F43F,103.855491,1.298208,14,1039,Nth Bridge Commercial Cplx,14673.99442,14158.93784,14395.57899,
0101000020E6100000077DE9EDCFF65940257497C459D1F43F,103.856441,1.301111,15,1059,Bugis Stn,14360.74781,13840.00112,14059.09886,
0101000020E61000002A3927F6D0F65940136058FE7CDBF43F,103.856504,1.303586,16,1109,Queen St Ter,14088.28744,13566.56817,13806.00683,
0101000020E6100000705D3123BCF65940AFB14B546FCDF43F,103.855233,1.300155,17,1112,Opp Bugis Junction,14457.34342,13943.26572,14210.10605,
0101000020E610000075E95F92CAF65940E60297C79AD1F43F,103.856114,1.301173,18,1113,Bugis Stn,14351.37148,13832.35869,14067.47129,
0101000020E61000001E37FC6EBAF6594036035C902DCBF43F,103.855129,1.299604,19,1119,Bugis Junction,14517.45573,14004.04032,14270.48334,
0101000020E6100000AD6EF59CF4F65940B62FA017EEDCF43F,103.85868,1.303938,20,1121,Stamford Pr Sch,14069.22966,13535.63942,13673.16463,
0101000020E6100000EE77280AF4F6594064CE33F625DBF43F,103.858645,1.303503,21,1129,Opp Stamford Pr Sch,14116.78513,13583.53533,13718.90988,
0101000020E6100000079ACFB9DBF659408099EFE027CEF43F,103.857161,1.300331,22,1139,Parkview Sq,14452.65378,13928.28663,14106.35115,
0101000020E610000020EF552B13F75940E36DA5D766E3F43F,103.860545,1.305518,23,1211,Opp Blk 461,13915.72189,13371.50432,13431.3049,
0101000020E6100000D7C0560916F75940B24AE9995EE2F43F,103.86072,1.305266,24,1219,Blk 461,13945.50481,13400.46255,13449.52038,
0101000020E61000002DE8BD3104F75940C042E6CAA0DAF43F,103.859631,1.303376,25,1229,Bef Sultan Mque,14141.01297,13602.55327,13689.06425,
0101000020E61000000F09DFFB1BF75940273108AC1CDAF43F,103.861083,1.30325,26,1231,Opp Textile Ctr,14171.47964,13625.41073,13640.37378,
0101000020E610000047E9D2BF24F75940240ED940BAD8F43F,103.861618,1.302912,27,1239,Sultan Plaza,14215.19307,13666.48105,13652.80995,
0101000020E6100000656D533C2EF75940CCCF0D4DD9E9F43F,103.862197,1.307092,28,1311,Lavender Stn,13763.62924,13209.82209,13200.16893,
0101000020E6100000DA0418963FF759403599F1B6D2EBF43F,103.863256,1.307574,29,1319,Lavender Stn,13725.48792,13165.77697,13106.48893,
0101000020E61000000C76C3B645F75940F8FA5A971AE1F43F,103.86363,1.304957,30,1329,Blk 8,14017.8163,13457.59732,13360.31394,
0101000020E61000002409C21550F75940D998D71187ECF43F,103.864263,1.307746,31,1339,Bef Crawford Bridge,13721.61325,13156.47129,13047.43815,
0101000020E6100000C364AA6054F759407024D06053E7F43F,103.864525,1.306476,32,1341,Southbank,13864.72405,13298.97116,13167.70872,
0101000020E61000009E29745E63F759405985CD0017E4F43F,103.86544,1.305686,33,1349,Opp Blk 4,13965.61235,13395.60709,13213.12723,
0101000020E6100000C478CDAB3AF75940A724EB7074D5F43F,103.862956,1.302113,34,1411,Keypoint Bldg,14320.3605,13765.12344,13680.66416,
0101000020E6100000333674B33FF7594085CE6BEC12D5F43F,103.863263,1.30202,35,1419,St. John HQ,14334.76595,13778.00629,13678.02588,
0101000020E61000008B53AD8559F759401B13622EA9DAF43F,103.864839,1.303384,36,1421,Opp Golden Mile Cplx,14208.17342,13642.6325,13474.97208,
0101000020E610000012A1116C5CF759408E075BECF6D9F43F,103.865016,1.303214,37,1429,Golden Mile Cplx,14229.51132,13663.17105,13485.72626,
0101000020E6100000EE77280AF4F659402E7590D783C9F43F,103.858645,1.299198,38,1511,Opp The Gateway,14590.95883,14059.16454,14157.7884,
0101000020E6100000450DA661F8F65940B7D100DE02C9F43F,103.85891,1.299075,39,1519,The Gateway,14607.09133,14073.96552,14159.15647,
0101000020E610000054FCDF1115F7594005C24EB16AD0F43F,103.860661,1.300883,40,1521,Opp Plaza Parkroyal,14426.77467,13883.91603,13900.67831,
0101000020E6100000CDC8207711F759405299620E82CEF43F,103.860441,1.300417,41,1529,Plaza Parkroyal,14475.53122,13933.99896,13957.61716,
0101000020E6100000D0D6C1C1DEF6594063B48EAA26C8F43F,103.857346,1.298865,42,1541,Aft Beach Rd,14615.85523,14090.92059,14247.4423,
0101000020E6100000EE43DE72F5F65940D9092FC1A9CFF43F,103.858731,1.300699,43,1549,Near Bali Lane,14426.45959,13893.71781,14000.8058,
0101000020E6100000C89750C1E1F65940BB0D6ABFB5D3F43F,103.857529,1.301687,44,1559,Landmark Village Hotel,14306.35907,13779.65308,13952.42769,
0101000020E6100000D4D4B2B5BEF65940DE3B6A4C88B9F43F,103.85539,1.295296,45,1611,Raffles Hotel,14994.69682,14480.73605,14695.75399,
