the_geom,name,distance_to_punggol,distance_to_yishun_east,distance_to_yishun_west
0101000020E610000069AA27F38FF65940CD203EB0E3BFF43F,Hotel Grand Pacific,14666.75518982,14308.20437284,14807.46189593
0101000020E61000000C3D62F4DCF3594077BE9F1A2F5DF43F,Blk 48,19298.43604306,17640.84505586,17937.52182273
0101000020E6100000B8770DFAD2F55940FAEC80EB8A19F63F,Mkt/FC,8385.53106697,5169.7660558,5509.24650183
0101000020E610000085B69C4B71F75940215A2BDA1C27F53F,Blk 44,11498.85915148,11607.58116465,12194.1802819
0101000020E6100000FE0E45813EF95940A6B6D4415E4FF53F,HDB CP,9580.04451849,11381.99356713,12117.9311377
0101000020E61000004BC8073D9BF6594016139B8F6BC3F43F,St. Joseph's Ch,14548.26663662,14212.46966179,14715.46743935
0101000020E61000002F3196E997F659401CD3139678C0F43F,Bras Basah Cplx,14630.1166806,14292.16424532,14794.00880981
0101000020E6100000A7CF0EB8AEF6594007B309302CBFF43F,Cosmic Insurance Bldg,14599.11408339,14327.37737834,14836.5077766
0101000020E610000070287CB60EF459407D0569C6A269F43F,Blk 59,18831.10399042,17226.85752029,17534.70016058
0101000020E6100000B130444E5FF55940B43BA41820D1F53F,Blk 407,10101.00746828,7268.00026252,7566.77213828
0101000020E6100000F20698F90EF559403F1F65C40560F63F,LP 94,8945.42519506,4112.15943809,4100.047829
0101000020E6100000AF5C6F9BA9F85940253CA1D79FC4F53F,Kovan Stn,6759.70960177,8083.11557822,8838.67256702
0101000020E61000009AD2FA5B02FA5940DA01D7153342F63F,Blk 153,2920.92092176,7041.71388755,7895.89166315
0101000020E61000006EC1525DC0F65940357D76C075C5F43F,Nth Bridge Commercial Cplx,14395.57899411,14158.93784284,14673.99442084
0101000020E6100000077DE9EDCFF65940257497C459D1F43F,Bugis Stn,14059.09886025,13840.00111512,14360.74781424
0101000020E61000002A3927F6D0F65940136058FE7CDBF43F,Queen St Ter,13806.00682881,13566.56817192,14088.28743844
0101000020E6100000705D3123BCF65940AFB14B546FCDF43F,Opp Bugis Junction,14210.10604873,13943.26572006,14457.34341651
0101000020E610000075E95F92CAF65940E60297C79AD1F43F,Bugis Stn,14067.47128596,13832.35868979,14351.37147695
0101000020E61000001E37FC6EBAF6594036035C902DCBF43F,Bugis Junction,14270.48333761,14004.04032075,14517.45572542
0101000020E6100000AD6EF59CF4F65940B62FA017EEDCF43F,Stamford Pr Sch,13673.16463314,13535.63941943,14069.22966475
0101000020E6100000EE77280AF4F6594064CE33F625DBF43F,Opp Stamford Pr Sch,13718.9098767,13583.53532927,14116.78512531
0101000020E6100000079ACFB9DBF659408099EFE027CEF43F,Parkview Sq,14106.35115099,13928.28663284,14452.65378492
0101000020E610000020EF552B13F75940E36DA5D766E3F43F,Opp Blk 461,13431.30489623,13371.50432293,13915.72189088
0101000020E6100000D7C0560916F75940B24AE9995EE2F43F,Blk 461,13449.52037588,13400.46254991,13945.50481095
0101000020E61000002DE8BD3104F75940C042E6CAA0DAF43F,Bef Sultan Mque,13689.0642539,13602.553272,14141.01296831
0101000020E61000000F09DFFB1BF75940273108AC1CDAF43F,Opp Textile Ctr,13640.37377948,13625.4107314,14171.47963848
0101000020E610000047E9D2BF24F75940240ED940BAD8F43F,Sultan Plaza,13652.80994871,13666.48105087,14215.19306858
0101000020E6100000656D533C2EF75940CCCF0D4DD9E9F43F,Lavender Stn,13200.16893044,13209.82209366,13763.6292395
0101000020E6100000DA0418963FF759403599F1B6D2EBF43F,Lavender Stn,13106.48893104,13165.77697321,13725.48792432
0101000020E61000000C76C3B645F75940F8FA5A971AE1F43F,Blk 8,13360.31393907,13457.59731958,14017.81630309
0101000020E61000002409C21550F75940D998D71187ECF43F,Bef Crawford Bridge,13047.4381454,13156.47128758,13721.61325224
0101000020E6100000C364AA6054F759407024D06053E7F43F,Southbank,13167.70872239,13298.97115966,13864.72404831
0101000020E61000009E29745E63F759405985CD0017E4F43F,Opp Blk 4,13213.12723188,13395.60708534,13965.61235372
0101000020E6100000C478CDAB3AF75940A724EB7074D5F43F,Keypoint Bldg,13680.6641631,13765.12343594,14320.36050262
0101000020E6100000333674B33FF7594085CE6BEC12D5F43F,St. John HQ,13678.02588023,13778.00628762,14334.76594901
0101000020E61000008B53AD8559F759401B13622EA9DAF43F,Opp Golden Mile Cplx,13474.97207656,13642.63250132,14208.17341726
0101000020E610000012A1116C5CF759408E075BECF6D9F43F,Golden Mile Cplx,13485.72625771,13663.17104526,14229.51132272
0101000020E6100000EE77280AF4F659402E7590D783C9F43F,Opp The Gateway,14157.78839825,14059.16454321,14590.95883408
0101000020E6100000450DA661F8F65940B7D100DE02C9F43F,The Gateway,14159.15646987,14073.96551579,14607.09132626
0101000020E610000054FCDF1115F7594005C24EB16AD0F43F,Opp Plaza Parkroyal,13900.67831269,13883.91603374,14426.77466972
0101000020E6100000CDC8207711F759405299620E82CEF43F,Plaza Parkroyal,13957.61716048,13933.9989614,14475.5312248
0101000020E6100000D0D6C1C1DEF6594063B48EAA26C8F43F,Aft Beach Rd,14247.44229656,14090.92059065,14615.85522865
0101000020E6100000EE43DE72F5F65940D9092FC1A9CFF43F,Near Bali Lane,14000.80580458,13893.71780747,14426.45958805
0101000020E6100000C89750C1E1F65940BB0D6ABFB5D3F43F,Landmark Village Hotel,13952.42769072,13779.6530814,14306.35907012
0101000020E6100000D4D4B2B5BEF65940DE3B6A4C88B9F43F,Raffles Hotel,14695.75399281,14480.73605378,14994.6968214
0101000020E610000095B54DF1B8F659400D350A4966B5F43F,Opp Raffles Hotel,14813.75370996,14591.80842369,15103.77717526
0101000020E610000053CC41D0D1F65940BB0B941458C0F43F,Opp Shaw Twrs,14475.79931304,14299.28090827,14819.61851819
0101000020E610000092054CE0D6F65940C685032159C0F43F,Shaw Twrs,14462.3582425,14300.00710575,14821.9425636
0101000020E61000001E6E8786C5F65940B61490F63FC0F43F,Aft Beach Rd,14510.80156438,14300.13664005,14816.57829557
0101000020E610000085CFD6C1C1F65940C99063EB19C2F43F,Bef Beach Rd,14475.00072601,14249.74311974,14765.07929509
0101000020E610000002124DA088F65940E99AC937DB9CF43F,Victoria Concert Hall,15551.97590125,15254.38297815,15750.74777186
0101000020E61000009510ACAA97F65940D9EC48F59D9FF43F,Opp S'pore Cricket Club,15443.36196285,15179.08402072,15680.08159232
0101000020E6100000E57D1CCD91F6594066118AADA0A9F43F,St. Andrew's Cath,15210.73532992,14909.06640825,15408.46817219
0101000020E61000000F99F221A8F6594094A5D6FB8DB6F43F,Raffles Hotel,14830.21874072,14559.80700318,15066.5394759
0101000020E6100000BB09BE69FAF659409180D1E5CDA1F43F,Seating Gallery,15139.00703018,15132.06139454,15662.77981664
0101000020E6100000780AB952CFF659400B47904AB1A3F43F,The Esplanade,15197.63858772,15072.19390579,15590.19454606
0101000020E6100000BAA1293BFDF65940776A2E3718AAF43F,Pan Pacific Hotel,14923.02199886,14909.23146508,15441.40213584
0101000020E6100000CE39782634F75940D047197101A8F43F,Marina Ctr Ter,14846.90562467,14985.80629913,15533.97363877
0101000020E61000001A868F8829F75940533F6F2A52A1F43F,Bef Temasek Ave,15041.09113122,15161.28990176,15705.72242557
0101000020E61000007CD45FAFB0F659401A33897AC1A7F43F,Esplanade Bridge,15174.92704462,14959.60958791,15468.48709617
0101000020E610000034F790F0BDF659408B8A389D64ABF43F,One Raffles Link,15049.6701936,14862.33477196,15375.42076797
0101000020E6100000718DCF64FFF65940BE4C142175BBF43F,Suntec Twr Two,14480.8342581,14441.57490385,14975.77204872
0101000020E61000004087F9F202F75940978BF84ECCBAF43F,Suntec Twr Three,14488.54852071,14460.44958888,14995.68323536
0101000020E610000048C0E8F2E6F65940CB811E6ADBB0F43F,Suntec Convention Ctr,14808.07492619,14721.18173849,15247.11112015
0101000020E6100000685E0EBBEFF659405C548B8862B2F43F,Opp Suntec Convention Ctr,14747.72022871,14682.00715874,15210.71749225
0101000020E6100000ED9A90D618F75940D6AC33BE2FAEF43F,Opp Millenia Twr,14753.44365875,14807.97845462,15348.7157886
0101000020E6100000E4A25A4414F7594052F2EA1C03B2F43F,Centennial Twr,14667.63336683,14703.17412022,15242.89331342
0101000020E61000000B9A965819F75940BB270F0BB5A6F43F,Opp The Ritz-Carlton,14941.64477002,15009.77485123,15549.98942266
0101000020E610000005DF347D76F6594047AD307DAFA1F43F,Supreme Ct,15481.56051842,15125.87996961,15616.72292124
0101000020E6100000F71F990E9DF659401FD95C35CF91F43F,Fullerton Sq,15773.31011192,15551.72045952,16054.02343792
0101000020E61000002FFD4B5299F6594007D3307C448CF43F,OUE Bayfront,15921.38593623,15701.39308068,16202.46561998
0101000020E61000006C3D433866F65940F62345645885F43F,Prudential Twr,16227.45771733,15893.21165503,16379.1323347
0101000020E6100000471CB28174F65940A54E40136183F43F,Opp AIA Twr,16238.62207427,15944.13118855,16434.2642168
0101000020E6100000C921E2E654F6594035D252793B82F43F,Opp PWC Bldg,16351.05138729,15980.60031339,16461.42349165
0101000020E61000001F0E12A27CF65940D45FAFB0E07EF43F,One Raffles Quay,16329.74194836,16064.68474732,16557.17012447
